city,rank,lat,lon,description
Blaine,188,45.1696,-93.2077,"Ranks highly in: Building_Loss_Rate: 91%, Diesel_Particulate: 88%, Traffic_Proximity: 87%"
Pontiac,189,40.8881,-88.6414,"Ranks highly in: Agricultural_Loss_Rate: 92%, Asthma: 90%, Building_Loss_Rate: 89%"
Asheboro,190,35.7158,-79.8129,"Ranks highly in: Agricultural_Loss_Rate: 93%, Building_Loss_Rate: 88%, Asthma: 88%"
Lorain,191,41.4409,-82.184,"Ranks highly in: Asthma: 89%, PM25: 88%, Diesel_Particulate: 87%"
Youngstown,192,41.0993,-80.6463,"Ranks highly in: PM25: 92%, Asthma: 89%, Household_Income: 87%"
Greeley,193,40.4151,-104.7706,"Ranks highly in: Building_Loss_Rate: 90%, Diesel_Particulate: 87%, Asthma: 86%"
San Tan Valley,194,33.1879,-111.5472,"Ranks highly in: Agricultural_Loss_Rate: 95%, Asthma: 89%, Household_Income: 88%"
Lubbock,195,33.5659,-101.8878,"Ranks highly in: Agricultural_Loss_Rate: 91%, Building_Loss_Rate: 90%, Traffic_Proximity: 88%"
Gastonia,196,35.2494,-81.1853,"Ranks highly in: PM25: 89%, Household_Income: 87%, Asthma: 86%"
Chester,197,37.3531,-77.4342,"Ranks highly in: Agricultural_Loss_Rate: 90%, Asthma: 87%, Traffic_Proximity: 87%"
Forest Park,198,33.6209,-84.359,"Ranks highly in: PM25: 89%, Household_Income: 87%, Asthma: 87%"
Frederick,199,39.4336,-77.4141,"Ranks highly in: Agricultural_Loss_Rate: 93%, Diesel_Particulate: 88%, Household_Income: 86%"
Decatur,200,39.8556,-88.9337,"Ranks highly in: Agricultural_Loss_Rate: 97%, Building_Loss_Rate: 96%, Asthma: 94%"
Spartanburg,201,34.9437,-81.9257,"Ranks highly in: PM25: 89%, Asthma: 87%, Building_Loss_Rate: 87%"
Texas City,202,29.4128,-94.9658,"Ranks highly in: Building_Loss_Rate: 91%, Traffic_Proximity: 86%, Diesel_Particulate: 86%"
